"Figure 1: Employment rate for all people increased 0.3 percentage points on the year, to just below the record- high employment rate",""
"UK employment rates (aged 16 to 64 years), seasonally adjusted, January to March 1971 to June to August 2019",""
"",""
"Notes",""
"Unit","%"
"",""
"Period","People","Men","Women"
"Jan-Mar 1971","72.2","92.1","52.8"
"Feb-Apr 1971","72.1","91.9","52.7"
"Mar-May 1971","72.0","91.8","52.7"
"Apr-Jun 1971","72.0","91.7","52.7"
"May-Jul 1971","71.9","91.6","52.7"
"Jun-Aug 1971","71.8","91.4","52.7"
"Jul-Sep 1971","71.7","91.2","52.7"
"Aug-Oct 1971","71.6","91.0","52.6"
"Sep-Nov 1971","71.5","90.8","52.6"
"Oct-Dec 1971","71.5","90.8","52.6"
"Nov-Jan 1972","71.5","90.8","52.7"
"Dec-Feb 1972","71.6","90.9","52.8"
"Jan-Mar 1972","71.8","91.0","52.9"
"Feb-Apr 1972","71.9","91.1","53.0"
"Mar-May 1972","71.9","91.1","53.1"
"Apr-Jun 1972","71.9","91.1","53.1"
"May-Jul 1972","71.9","91.0","53.2"
"Jun-Aug 1972","71.9","91.0","53.2"
"Jul-Sep 1972","72.0","91.0","53.3"
"Aug-Oct 1972","72.0","91.1","53.4"
"Sep-Nov 1972","72.1","91.2","53.5"
"Oct-Dec 1972","72.2","91.2","53.6"
"Nov-Jan 1973","72.4","91.4","53.8"
"Dec-Feb 1973","72.6","91.6","54.0"
"Jan-Mar 1973","72.8","91.8","54.2"
"Feb-Apr 1973","72.9","91.9","54.3"
"Mar-May 1973","73.0","91.9","54.5"
"Apr-Jun 1973","73.0","91.9","54.5"
"May-Jul 1973","72.9","91.7","54.5"
"Jun-Aug 1973","72.9","91.6","54.6"
"Jul-Sep 1973","72.9","91.6","54.7"
"Aug-Oct 1973","72.9","91.5","54.8"
"Sep-Nov 1973","73.0","91.5","54.9"
"Oct-Dec 1973","73.0","91.4","54.9"
"Nov-Jan 1974","73.0","91.3","55.0"
"Dec-Feb 1974","73.0","91.2","55.1"
"Jan-Mar 1974","72.9","91.1","55.1"
"Feb-Apr 1974","72.9","91.0","55.2"
"Mar-May 1974","72.9","90.9","55.2"
"Apr-Jun 1974","73.0","90.9","55.3"
"May-Jul 1974","73.0","90.9","55.4"
"Jun-Aug 1974","73.1","91.0","55.5"
"Jul-Sep 1974","73.1","90.9","55.6"
"Aug-Oct 1974","73.1","90.9","55.7"
"Sep-Nov 1974","73.1","90.8","55.7"
"Oct-Dec 1974","73.1","90.8","55.7"
"Nov-Jan 1975","73.0","90.6","55.7"
"Dec-Feb 1975","72.9","90.5","55.7"
"Jan-Mar 1975","72.9","90.4","55.6"
"Feb-Apr 1975","72.8","90.2","55.6"
"Mar-May 1975","72.7","90.1","55.6"
"Apr-Jun 1975","72.7","90.1","55.6"
"May-Jul 1975","72.7","90.0","55.6"
"Jun-Aug 1975","72.6","89.9","55.6"
"Jul-Sep 1975","72.6","89.8","55.6"
"Aug-Oct 1975","72.5","89.7","55.5"
"Sep-Nov 1975","72.4","89.6","55.5"
"Oct-Dec 1975","72.3","89.5","55.5"
"Nov-Jan 1976","72.3","89.3","55.4"
"Dec-Feb 1976","72.2","89.2","55.4"
"Jan-Mar 1976","72.1","89.1","55.4"
"Feb-Apr 1976","72.0","89.0","55.3"
"Mar-May 1976","72.0","88.9","55.3"
"Apr-Jun 1976","72.0","88.8","55.3"
"May-Jul 1976","71.9","88.8","55.3"
"Jun-Aug 1976","71.9","88.7","55.3"
"Jul-Sep 1976","71.9","88.6","55.3"
"Aug-Oct 1976","71.8","88.6","55.3"
"Sep-Nov 1976","71.8","88.5","55.3"
"Oct-Dec 1976","71.8","88.5","55.3"
"Nov-Jan 1977","71.8","88.5","55.3"
"Dec-Feb 1977","71.8","88.4","55.4"
"Jan-Mar 1977","71.8","88.3","55.4"
"Feb-Apr 1977","71.7","88.3","55.4"
"Mar-May 1977","71.7","88.2","55.4"
"Apr-Jun 1977","71.6","88.1","55.4"
"May-Jul 1977","71.6","88.0","55.4"
"Jun-Aug 1977","71.6","88.0","55.4"
"Jul-Sep 1977","71.6","87.9","55.4"
"Aug-Oct 1977","71.6","87.8","55.5"
"Sep-Nov 1977","71.5","87.8","55.5"
"Oct-Dec 1977","71.5","87.7","55.5"
"Nov-Jan 1978","71.5","87.7","55.5"
"Dec-Feb 1978","71.5","87.7","55.6"
"Jan-Mar 1978","71.5","87.6","55.6"
"Feb-Apr 1978","71.5","87.5","55.7"
"Mar-May 1978","71.5","87.5","55.8"
"Apr-Jun 1978","71.5","87.4","55.8"
"May-Jul 1978","71.5","87.4","55.8"
"Jun-Aug 1978","71.5","87.3","55.9"
"Jul-Sep 1978","71.5","87.3","55.9"
"Aug-Oct 1978","71.6","87.3","56.0"
"Sep-Nov 1978","71.6","87.4","56.1"
"Oct-Dec 1978","71.7","87.4","56.2"
"Nov-Jan 1979","71.8","87.4","56.3"
"Dec-Feb 1979","71.8","87.4","56.3"
"Jan-Mar 1979","71.8","87.3","56.3"
"Feb-Apr 1979","71.7","87.3","56.3"
"Mar-May 1979","71.7","87.2","56.4"
"Apr-Jun 1979","71.7","87.2","56.5"
"May-Jul 1979","71.8","87.1","56.6"
"Jun-Aug 1979","71.8","87.1","56.6"
"Jul-Sep 1979","71.8","87.0","56.7"
"Aug-Oct 1979","71.8","86.9","56.7"
"Sep-Nov 1979","71.8","86.9","56.8"
"Oct-Dec 1979","71.7","86.7","56.9"
"Nov-Jan 1980","71.7","86.6","56.9"
"Dec-Feb 1980","71.6","86.4","56.9"
"Jan-Mar 1980","71.5","86.3","56.9"
"Feb-Apr 1980","71.4","86.1","56.8"
"Mar-May 1980","71.3","86.0","56.8"
"Apr-Jun 1980","71.2","85.7","56.8"
"May-Jul 1980","71.1","85.5","56.8"
"Jun-Aug 1980","70.9","85.2","56.7"
"Jul-Sep 1980","70.7","84.9","56.6"
"Aug-Oct 1980","70.4","84.5","56.5"
"Sep-Nov 1980","70.2","84.1","56.4"
"Oct-Dec 1980","69.9","83.7","56.3"
"Nov-Jan 1981","69.7","83.4","56.2"
"Dec-Feb 1981","69.5","83.0","56.1"
"Jan-Mar 1981","69.3","82.7","56.0"
"Feb-Apr 1981","69.1","82.4","55.9"
"Mar-May 1981","68.9","82.1","55.8"
"Apr-Jun 1981","68.7","81.8","55.7"
"May-Jul 1981","68.5","81.5","55.6"
"Jun-Aug 1981","68.4","81.3","55.5"
"Jul-Sep 1981","68.2","81.1","55.5"
"Aug-Oct 1981","68.1","80.8","55.4"
"Sep-Nov 1981","67.9","80.6","55.3"
"Oct-Dec 1981","67.7","80.4","55.3"
"Nov-Jan 1982","67.6","80.2","55.2"
"Dec-Feb 1982","67.5","80.0","55.1"
"Jan-Mar 1982","67.4","79.9","55.0"
"Feb-Apr 1982","67.3","79.8","55.0"
"Mar-May 1982","67.2","79.7","54.9"
"Apr-Jun 1982","67.1","79.5","54.8"
"May-Jul 1982","66.9","79.3","54.7"
"Jun-Aug 1982","66.8","79.1","54.6"
"Jul-Sep 1982","66.6","78.9","54.5"
"Aug-Oct 1982","66.5","78.7","54.4"
"Sep-Nov 1982","66.3","78.5","54.2"
"Oct-Dec 1982","66.1","78.2","54.1"
"Nov-Jan 1983","65.9","78.1","54.0"
"Dec-Feb 1983","65.8","77.9","53.9"
"Jan-Mar 1983","65.7","77.8","53.8"
"Feb-Apr 1983","65.6","77.6","53.7"
"Mar-May 1983","65.6","77.5","53.8"
"Apr-Jun 1983","65.6","77.4","53.8"
"May-Jul 1983","65.6","77.4","54.0"
"Jun-Aug 1983","65.7","77.5","54.1"
"Jul-Sep 1983","65.9","77.6","54.3"
"Aug-Oct 1983","66.0","77.7","54.5"
"Sep-Nov 1983","66.2","77.8","54.7"
"Oct-Dec 1983","66.3","77.8","54.8"
