"Figure 3: Visits to the UK by overseas residents decreased by 2% in the three months to June 2019 compared with the same period a year earlier",""
"Overseas residents' visits to the UK by month, from June 2016 to June 2019",""
"",""
"Notes",""
"Unit","Thousands"
"",""
"","All visits (Thousands)","Europe (Thousands)","North America (Thousands)","Other Countries (Thousands)"
"June 2016","3267","2241","483","543"
"","3786","2434","596","756"
"","3757","2497","522","738"
"Sep","3116","2096","425","595"
"","3346","2586","360","400"
"","3167","2525","305","338"
"Dec","2919","2174","288","457"
"","2935","2220","242","473"
"","2370","1855","167","348"
"Mar","3002","2274","367","361"
"","3756","2943","333","480"
"","3559","2524","514","521"
"June 2017","3562","2307","674","582"
"","4043","2535","645","863"
"","3957","2696","473","789"
"Sep","3110","2092","385","632"
"","3202","2333","354","515"
"","3095","2414","333","347"
"Dec","2624","1947","257","419"
"","2507","1756","262","489"
"","2380","1823","219","337"
"Mar","2996","2316","294","387"
"","3338","2558","372","408"
"","3475","2539","457","479"
"June 2018","3243","2073","534","636"
"","3901","2450","698","752"
"","3848","2613","482","753"
"Sep","3054","2022","454","578"
"","3343","2391","457","495"
"","2955","2284","292","378"
"Dec","2866","2205","206","454"
"","2693","1947","286","461"
"","2254","1742","185","327"
"Mar","3009","2364","310","335"
"","3070","2390","330","350"
"","3280","2190","600","490"
"June 2019","3530","2250","680","600"
